,left_side,right_side,similairity
3717,CHEYENNE PARK HISTORIC DISTRICT,CHEYENNE HISTORIC DISTRICT,0.8131816023285167
3718,CHEYENNE PARK HISTORIC DISTRICT,CHEYENNE HISTORIC DISTRICT,0.8131816023285167
3719,CHEYENNE PARK HISTORIC DISTRICT,CHEYENNE HISTORIC DISTRICT,0.8131816023285167
3720,CHEYENNE PARK HISTORIC DISTRICT,CHEYENNE HISTORIC DISTRICT,0.8131816023285167
3721,CHEYENNE PARK HISTORIC DISTRICT,CHEYENNE HISTORIC DISTRICT,0.8131816023285167
3722,CHEYENNE PARK HISTORIC DISTRICT,CHEYENNE HISTORIC DISTRICT,0.8131816023285167
3774,"BUILDING 20, TULSA IA AIR NATIONAL GUARD BASE","BUILDING 220, TULSA IA AIR NATIONAL GUARD BASE",0.9431737935355509
3775,"BUILDING 20, TULSA IA AIR NATIONAL GUARD BASE","BUILDING 320, TULSA IA AIR NATIONAL GUARD BASE",0.9038962743935421
3776,"BUILDING 20, TULSA IA AIR NATIONAL GUARD BASE","BUILDING 25, TULSA IA AIR NATIONAL GUARD BASE",0.8950150388327889
3777,"BUILDING 20, TULSA IA AIR NATIONAL GUARD BASE","BUILDING 222, TULSA IA AIR NATIONAL GUARD BASE",0.8766563088157879
3778,"BUILDING 20, TULSA IA AIR NATIONAL GUARD BASE","BUILDING 224, TULSA IA AIR NATIONAL GUARD BASE",0.8726439660006284
3779,"BUILDING 20, TULSA IA AIR NATIONAL GUARD BASE","BUILDING 5, TULSA IA AIR NATIONAL GUARD BASE",0.8580707830469295
3780,"BUILDING 20, TULSA IA AIR NATIONAL GUARD BASE","BUILDING 415, TULSA IA AIR NATIONAL GUARD BASE",0.8389243923579318
3781,"BUILDING 20, TULSA IA AIR NATIONAL GUARD BASE","BUILDING 304, TULSA IA AIR NATIONAL GUARD BASE",0.8349391657983006
3782,"BUILDING 20, TULSA IA AIR NATIONAL GUARD BASE","BUILDING 402, TULSA IA AIR NATIONAL GUARD BASE",0.8344447981122078
3784,"BUILDING 220, TULSA IA AIR NATIONAL GUARD BASE","BUILDING 20, TULSA IA AIR NATIONAL GUARD BASE",0.9431737935355509
3785,"BUILDING 220, TULSA IA AIR NATIONAL GUARD BASE","BUILDING 222, TULSA IA AIR NATIONAL GUARD BASE",0.8952438574909453
3786,"BUILDING 220, TULSA IA AIR NATIONAL GUARD BASE","BUILDING 224, TULSA IA AIR NATIONAL GUARD BASE",0.8911464418637516
3787,"BUILDING 220, TULSA IA AIR NATIONAL GUARD BASE","BUILDING 320, TULSA IA AIR NATIONAL GUARD BASE",0.8874721870161411
3788,"BUILDING 220, TULSA IA AIR NATIONAL GUARD BASE","BUILDING 25, TULSA IA AIR NATIONAL GUARD BASE",0.8787523263752768
3789,"BUILDING 220, TULSA IA AIR NATIONAL GUARD BASE","BUILDING 5, TULSA IA AIR NATIONAL GUARD BASE",0.842479359654667
3790,"BUILDING 220, TULSA IA AIR NATIONAL GUARD BASE","BUILDING 415, TULSA IA AIR NATIONAL GUARD BASE",0.8236808650711706
